ID,Prob1
420, 0.04
421, 0.96
422, 0.23
423, 0.37
424, 0.55
425, 0.33
426, 0.26
427, 0.46
428, 0.05
429, 0.59
430, 0.38
431, 0.97
432, 0.62
433, 0.97
434, 0.77
435, 0.14
436, 0.65
437, 0.29
438, 0.09
439, 0.35
440, 0.47
441, 0.15
442, 0.62
443, 0.55
444, 0.62
445, 0.31
446, 0.05
447, 0.15
448, 0.04
449, 0.35
450, 0.27
451, 0.04
452, 0.08
453, 0.95
454, 0.42
455, 0.95
456, 0.46
457, 0.50
458, 0.21
459, 0.42
460, 0.04
461, 0.05
462, 0.15
463, 0.95
464, 0.04
465, 0.03
466, 0.89
467, 0.15
468, 0.05
469, 0.54
470, 0.15
471, 0.12
472, 0.50
473, 0.48
474, 0.03
475, 0.05
476, 0.01
477, 0.03
478, 0.54
479, 0.29
480, 0.04
481, 0.05
482, 0.04
483, 0.45
484, 0.89
485, 0.95
486, 0.32
487, 0.04
488, 0.39
489, 0.12
490, 0.12
491, 0.18
492, 0.04
493, 0.16
494, 0.20
495, 0.65
496, 0.77
497, 0.05
498, 0.95
499, 0.05
500, 0.03
501, 0.23
502, 0.96
503, 0.34
504, 0.04
505, 0.97
506, 0.14
507, 0.77
508, 0.27
509, 0.19
510, 0.45
511, 0.63
512, 0.03
513, 0.85
514, 0.65
515, 0.04
516, 0.04
517, 0.32
518, 0.95
519, 0.12
520, 0.32
521, 0.86
522, 0.97
523, 0.91
524, 0.43
525, 0.66
526, 0.97
527, 0.14
528, 0.04
529, 0.15
530, 0.14
531, 0.03
532, 0.26
533, 0.27
534, 0.75
535, 0.86
536, 0.41
537, 0.25
538, 0.05
539, 0.58
540, 0.46
541, 0.50
542, 0.96
543, 0.97
544, 0.35
545, 0.42
546, 0.14
547, 0.03
548, 0.27
549, 0.04
550, 0.05
551, 0.35
552, 0.05
553, 0.46
554, 0.22
555, 0.30
556, 0.88
557, 0.32
558, 0.54
559, 0.95
560, 0.03
561, 0.28
562, 0.56
563, 0.04
564, 0.83
565, 0.55
566, 0.26
567, 0.05
568, 0.05
569, 0.50
570, 0.05
571, 0.43
572, 0.03
573, 0.05
574, 0.54
575, 0.38
576, 0.55
577, 0.03
578, 0.04
579, 0.46
580, 0.04
581, 0.35
582, 0.21
583, 0.04
584, 0.55
585, 0.04
586, 0.05
587, 0.16
588, 0.86
589, 0.82
590, 0.95
591, 0.03
592, 0.23
593, 0.47
594, 0.75
595, 0.05
596, 0.89
597, 0.05
598, 0.03
599, 0.68
600, 0.86
601, 0.95
602, 0.05
603, 0.75
604, 0.25
605, 0.04
606, 0.12
607, 0.46
608, 0.12
609, 0.17
610, 0.79
611, 0.04
612, 0.05
613, 0.69
614, 0.04
615, 0.25
616, 0.96
617, 0.04
618, 0.96
619, 0.03
620, 0.15
621, 0.25
622, 0.58
623, 0.15
624, 0.05
625, 0.35
626, 0.05
627, 0.75
628, 0.15
629, 0.15
630, 0.04
631, 0.05
632, 0.95
633, 0.79
634, 0.68
635, 0.65
636, 0.81
637, 0.43
638, 0.03
639, 0.43
640, 0.04
641, 0.45
642, 0.59
643, 0.26
644, 0.12
645, 0.61
646, 0.82
647, 0.04
648, 0.04
649, 0.12
650, 0.83
651, 0.23
652, 0.75
653, 0.05
654, 0.44
655, 0.05
656, 0.03
657, 0.43
658, 0.03
659, 0.59
660, 0.86
661, 0.04
662, 0.45
663, 0.04
664, 0.35
665, 0.12
666, 0.92
667, 0.05
668, 0.09
669, 0.68
670, 0.15
671, 0.15
672, 0.68
673, 0.35
674, 0.27
675, 0.32
676, 0.75
677, 0.58
678, 0.05
679, 0.25
680, 0.38
681, 0.04
682, 0.78
683, 0.11
684, 0.03
685, 0.65
686, 0.04
687, 0.05
688, 0.35
689, 0.10
690, 0.04
691, 0.21
692, 0.25
693, 0.03
694, 0.75
695, 0.05
696, 0.19
697, 0.46
698, 0.97
699, 0.05
700, 0.28
701, 0.59
702, 0.95
703, 0.77
704, 0.85
705, 0.96
706, 0.38
707, 0.81
708, 0.64
709, 0.03
710, 0.88
711, 0.68
712, 0.05
713, 0.15
714, 0.04
715, 0.62
716, 0.55
717, 0.95
718, 0.50
719, 0.96
720, 0.81
721, 0.43
722, 0.03
723, 0.15
724, 0.17
725, 0.04
726, 0.85
727, 0.05
728, 0.25
729, 0.05
730, 0.03
731, 0.91
732, 0.61
733, 0.05
734, 0.59
735, 0.65
736, 0.05
737, 0.05
738, 0.65
739, 0.81
740, 0.65
741, 0.22
742, 0.68
743, 0.54
744, 0.96
745, 0.41
746, 0.96
747, 0.68
748, 0.23
749, 0.75
750, 0.18
751, 0.65
752, 0.03
753, 0.10
754, 0.05
755, 0.58
756, 0.69
757, 0.96
758, 0.45
759, 0.04
760, 0.81
761, 0.25
762, 0.05
763, 0.42
764, 0.05
765, 0.21
766, 0.97
767, 0.11
768, 0.55
769, 0.41
770, 0.42
771, 0.35
772, 0.14
773, 0.05
774, 0.56
775, 0.05
776, 0.21
777, 0.23
778, 0.03
779, 0.04
780, 0.95
781, 0.81
782, 0.05
783, 0.34
784, 0.64
785, 0.05
786, 0.55
787, 0.09
788, 0.38
789, 0.64
790, 0.18
791, 0.43
792, 0.59
793, 0.62
794, 0.15
795, 0.15
796, 0.38
797, 0.37
798, 0.32
799, 0.05
800, 0.15
801, 0.17
802, 0.45
803, 0.57
804, 0.96
805, 0.23
806, 0.14
807, 0.32
808, 0.32
809, 0.23
810, 0.59
811, 0.79
812, 0.36
813, 0.03
814, 0.41
815, 0.22
816, 0.30
817, 0.11
818, 0.89
819, 0.32
820, 0.81
821, 0.12
822, 0.04
823, 0.05
824, 0.32
825, 0.25
826, 0.23
827, 0.54
828, 0.84
829, 0.29
830, 0.29
831, 0.70
832, 0.89
833, 0.35
834, 0.17
835, 0.65
836, 0.54
837, 0.25
838, 0.32
839, 0.31
840, 0.10
841, 0.21
842, 0.05
843, 0.14
844, 0.59
845, 0.95
846, 0.04
847, 0.45
848, 0.32
849, 0.05
850, 0.77
851, 0.65
852, 0.03
853, 0.46
854, 0.42
855, 0.05
856, 0.19
857, 0.59
858, 0.95
859, 0.03
860, 0.05
861, 0.12
862, 0.19
863, 0.25
864, 0.04
865, 0.11
866, 0.05
867, 0.04
868, 0.04
869, 0.15
870, 0.43
871, 0.50
872, 0.95
873, 0.68
874, 0.38
875, 0.55
876, 0.03
877, 0.46
878, 0.15
879, 0.15
880, 0.55
881, 0.75
882, 0.30
883, 0.05
884, 0.35
885, 0.95
886, 0.86
887, 0.03
888, 0.97
889, 0.15
890, 0.95
891, 0.54
892, 0.32
893, 0.04
894, 0.03
895, 0.88
896, 0.62
897, 0.23
898, 0.96
899, 0.05
900, 0.19
901, 0.12
902, 0.05
903, 0.79
904, 0.96
905, 0.04
906, 0.85
907, 0.73
908, 0.14
909, 0.22
910, 0.15
911, 0.05
912, 0.55
913, 0.68
914, 0.62
915, 0.25
916, 0.59
917, 0.25
918, 0.59
919, 0.59
920, 0.14
921, 0.30
922, 0.53
923, 0.03
924, 0.50
925, 0.55
926, 0.05
927, 0.54
928, 0.32
929, 0.04
930, 0.12
931, 0.04
932, 0.54
933, 0.05
934, 0.04
935, 0.62
936, 0.36
937, 0.34
938, 0.55
939, 0.09
940, 0.41
941, 0.41
942, 0.15
943, 0.12
944, 0.17
945, 0.05
946, 0.64
947, 0.62
948, 0.91
949, 0.25
950, 0.35
951, 0.54
952, 0.96
953, 0.21
954, 0.03
955, 0.97
956, 0.03
957, 0.23
958, 0.75
959, 0.42
960, 0.44
961, 0.42
962, 0.04
963, 0.05
964, 0.68
965, 0.36
966, 0.74
967, 0.57
968, 0.05
969, 0.54
970, 0.22
971, 0.50
972, 0.03
973, 0.18
974, 0.58
975, 0.55
976, 0.19
977, 0.05
978, 0.05
979, 0.91
980, 0.62
981, 0.05
982, 0.09
983, 0.39
984, 0.03
985, 0.50
986, 0.03
987, 0.21
988, 0.85
989, 0.22
990, 0.97
991, 0.05
992, 0.29
993, 0.44
994, 0.17
995, 0.15
996, 0.25
997, 0.08
998, 0.96
999, 0.29
1000, 0.03
1001, 0.03
1002, 0.59
1003, 0.66
1004, 0.14
1005, 0.97
1006, 0.17
1007, 0.36
1008, 0.66
1009, 0.15
1010, 0.65
1011, 0.05
1012, 0.05
1013, 0.19
1014, 0.35
1015, 0.04
1016, 0.03
1017, 0.04
1018, 0.75
1019, 0.97
1020, 0.04
1021, 0.75
1022, 0.68
1023, 0.04
1024, 0.77
1025, 0.05
1026, 0.97
1027, 0.96
1028, 0.03
1029, 0.18
1030, 0.38
1031, 0.70
1032, 0.75
1033, 0.03
1034, 0.21
1035, 0.41
1036, 0.04
1037, 0.05
1038, 0.70
1039, 0.32
1040, 0.43
1041, 0.55
1042, 0.19
1043, 0.05
1044, 0.89
1045, 0.04
1046, 0.25
1047, 0.05
1048, 0.75
1049, 0.40
1050, 0.27
1051, 0.05
1052, 0.15
1053, 0.04
1054, 0.61
1055, 0.81
1056, 0.77
1057, 0.09
1058, 0.77
1059, 0.75
1060, 0.21
1061, 0.03
1062, 0.05
1063, 0.47
1064, 0.03
1065, 0.15
1066, 0.53
1067, 0.32
1068, 0.90
1069, 0.85
1070, 0.09
1071, 0.57
1072, 0.10
1073, 0.23
1074, 0.86
1075, 0.05
1076, 0.03
1077, 0.68
1078, 0.64
1079, 0.15
1080, 0.68
1081, 0.95
1082, 0.88
1083, 0.58
1084, 0.95
1085, 0.33
1086, 0.03
1087, 0.31
1088, 0.70
1089, 0.03
1090, 0.03
1091, 0.55
1092, 0.85
1093, 0.57
1094, 0.47
1095, 0.75
1096, 0.38
1097, 0.15
1098, 0.35
1099, 0.15
1100, 0.03
1101, 0.55
1102, 0.04
1103, 0.32
1104, 0.74
1105, 0.05
1106, 0.04
1107, 0.09
1108, 0.25
1109, 0.04
1110, 0.88
1111, 0.95
1112, 0.03
1113, 0.37
1114, 0.03
1115, 0.05
1116, 0.19
1117, 0.25
1118, 0.37
1119, 0.44
1120, 0.25
1121, 0.86
1122, 0.32
1123, 0.09
1124, 0.03
1125, 0.46
1126, 0.12
1127, 0.19
1128, 0.56
1129, 0.68
1130, 0.03
1131, 0.32
1132, 0.23
1133, 0.04
1134, 0.04
1135, 0.03
1136, 0.46
1137, 0.04
1138, 0.53
1139, 0.03
1140, 0.13
1141, 0.18
1142, 0.25
1143, 0.05
1144, 0.53
1145, 0.92
1146, 0.73
1147, 0.03
1148, 0.77
1149, 0.11
1150, 0.95
1151, 0.19
1152, 0.04
1153, 0.29
1154, 0.25
1155, 0.42
1156, 0.50
1157, 0.05
1158, 0.03
1159, 0.25
1160, 0.05
1161, 0.38
1162, 0.14
1163, 0.31
1164, 0.04
1165, 0.05
1166, 0.65
1167, 0.04
1168, 0.03
1169, 0.04
1170, 0.03
1171, 0.25
1172, 0.54
1173, 0.05
1174, 0.15
1175, 0.83
1176, 0.03
1177, 0.04
1178, 0.65
1179, 0.03
1180, 0.38
1181, 0.03
1182, 0.03
1183, 0.03
1184, 0.03
1185, 0.83
1186, 0.96
1187, 0.59
1188, 0.15
1189, 0.92
1190, 0.04
1191, 0.75
1192, 0.16
1193, 0.04
1194, 0.04
1195, 0.42
1196, 0.03
1197, 0.42
1198, 0.03
1199, 0.38
1200, 0.68
1201, 0.96
1202, 0.63
1203, 0.42
1204, 0.58
1205, 0.50
1206, 0.12
1207, 0.86
1208, 0.03
1209, 0.05
1210, 0.03
1211, 0.46
1212, 0.42
1213, 0.05
1214, 0.62
1215, 0.63
1216, 0.05
1217, 0.46
1218, 0.56
1219, 0.75
1220, 0.81
1221, 0.54
1222, 0.50
1223, 0.39
1224, 0.18
1225, 0.79
1226, 0.55
1227, 0.50
1228, 0.86
1229, 0.62
1230, 0.79
1231, 0.03
1232, 0.03
1233, 0.05
1234, 0.59
1235, 0.41
1236, 0.86
1237, 0.95
1238, 0.03
1239, 0.53
1240, 0.04
1241, 0.03
1242, 0.96
1243, 0.05
1244, 0.46
1245, 0.85
1246, 0.29
1247, 0.26
1248, 0.04
1249, 0.95
1250, 0.03
1251, 0.18
1252, 0.15
1253, 0.25
1254, 0.03
1255, 0.04
1256, 0.29
1257, 0.25
1258, 0.50
1259, 0.97
1260, 0.12
1261, 0.25
1262, 0.03
1263, 0.86
1264, 0.15
1265, 0.11
1266, 0.83
1267, 0.23
1268, 0.05
1269, 0.22
1270, 0.71
1271, 0.55
1272, 0.82
1273, 0.10
1274, 0.58
1275, 0.05
1276, 0.24
1277, 0.04
1278, 0.39
1279, 0.71
1280, 0.14
1281, 0.05
1282, 0.04
1283, 0.35
1284, 0.75
1285, 0.03
1286, 0.05
1287, 0.54
1288, 0.63
1289, 0.09
1290, 0.85
1291, 0.15
1292, 0.05
1293, 0.35
1294, 0.53
1295, 0.12
1296, 0.75
1297, 0.15
1298, 0.85
1299, 0.05
1300, 0.05
1301, 0.55
1302, 0.39
1303, 0.10
1304, 0.23
1305, 0.05
1306, 0.03
1307, 0.50
1308, 0.53
1309, 0.04
1310, 0.03
1311, 0.31
1312, 0.45
1313, 0.05
1314, 0.41
1315, 0.64
1316, 0.25
1317, 0.15
1318, 0.03
1319, 0.25
1320, 0.14
1321, 0.05
1322, 0.04
1323, 0.96
1324, 0.95
1325, 0.25
1326, 0.25
1327, 0.68
1328, 0.28
1329, 0.54
1330, 0.85
1331, 0.47
1332, 0.04
1333, 0.04
1334, 0.26
1335, 0.59
1336, 0.01
1337, 0.54
1338, 0.21
1339, 0.61
1340, 0.05
1341, 0.03
1342, 0.04
1343, 0.97
1344, 0.85
1345, 0.41
1346, 0.04
1347, 0.86
1348, 0.05
1349, 0.19
1350, 0.05
1351, 0.38
1352, 0.97
1353, 0.36
1354, 0.45
1355, 0.05
1356, 0.61
1357, 0.85
1358, 0.16
1359, 0.05
1360, 0.62
1361, 0.55
1362, 0.45
1363, 0.04
1364, 0.08
1365, 0.32
1366, 0.26
1367, 0.04
1368, 0.97
1369, 0.18
1370, 0.19
1371, 0.05
1372, 0.04
1373, 0.45
1374, 0.03
1375, 0.08
1376, 0.39
1377, 0.15
1378, 0.14
1379, 0.65
1380, 0.68
1381, 0.35
1382, 0.50
1383, 0.85
1384, 0.75
1385, 0.95
1386, 0.78
1387, 0.25
1388, 0.05
1389, 0.16
1390, 0.05
1391, 0.03
1392, 0.56
1393, 0.23
1394, 0.15
1395, 0.05
1396, 0.85
1397, 0.42
1398, 0.05
1399, 0.45
1400, 0.53
1401, 0.50
1402, 0.30
1403, 0.21
1404, 0.15
1405, 0.43
1406, 0.23
1407, 0.81
1408, 0.44
1409, 0.65
1410, 0.75
1411, 0.02
1412, 0.04
1413, 0.15
1414, 0.14
1415, 0.03
1416, 0.14
1417, 0.03
1418, 0.45
1419, 0.29
1420, 0.68
1421, 0.81
1422, 0.95
1423, 0.16
1424, 0.05
1425, 0.59
1426, 0.05
1427, 0.84
1428, 0.58
1429, 0.31
1430, 0.35
1431, 0.34
1432, 0.54
1433, 0.35
1434, 0.28
1435, 0.95
1436, 0.19
1437, 0.05
1438, 0.68
1439, 0.79
1440, 0.15
1441, 0.96
1442, 0.41
1443, 0.75
1444, 0.05
1445, 0.45
1446, 0.54
1447, 0.25
1448, 0.54
1449, 0.05
1450, 0.05
1451, 0.19
1452, 0.09
1453, 0.35
1454, 0.53
1455, 0.21
1456, 0.38
1457, 0.15
1458, 0.04
1459, 0.24
1460, 0.46
1461, 0.18
1462, 0.83
1463, 0.04
1464, 0.25
1465, 0.05
1466, 0.04
1467, 0.10
1468, 0.11
1469, 0.05
1470, 0.63
1471, 0.11
1472, 0.04
1473, 0.05
1474, 0.50
1475, 0.97
1476, 0.05
1477, 0.15
1478, 0.03
1479, 0.35
1480, 0.96
1481, 0.45
1482, 0.04
1483, 0.92
1484, 0.23
1485, 0.46
1486, 0.02
1487, 0.19
1488, 0.05
1489, 0.22
1490, 0.32
1491, 0.11
1492, 0.95
1493, 0.04
1494, 0.56
1495, 0.45
1496, 0.03
1497, 0.50
1498, 0.65
1499, 0.09
1500, 0.95
1501, 0.68
1502, 0.25
1503, 0.14
1504, 0.15
1505, 0.29
1506, 0.43
1507, 0.39
1508, 0.23
1509, 0.62
1510, 0.30
1511, 0.59
1512, 0.91
1513, 0.82
1514, 0.04
1515, 0.04
1516, 0.04
1517, 0.26
1518, 0.03
1519, 0.54
1520, 0.32
1521, 0.05
1522, 0.05
1523, 0.85
1524, 0.05
1525, 0.88
1526, 0.05
1527, 0.04
1528, 0.03
1529, 0.89
1530, 0.41
1531, 0.35
1532, 0.47
1533, 0.05
1534, 0.12
1535, 0.61
1536, 0.91
1537, 0.43
1538, 0.04
1539, 0.02
1540, 0.05
1541, 0.03
1542, 0.05
1543, 0.34
1544, 0.37
1545, 0.27
1546, 0.38
1547, 0.14
1548, 0.65
1549, 0.11
1550, 0.25
1551, 0.04
1552, 0.04
1553, 0.21
1554, 0.62
1555, 0.12
1556, 0.42
1557, 0.05
1558, 0.30
1559, 0.38
1560, 0.03
1561, 0.03
1562, 0.05
1563, 0.05
1564, 0.05
1565, 0.05
1566, 0.14
1567, 0.39
1568, 0.38
1569, 0.05
1570, 0.43
1571, 0.04
1572, 0.04
1573, 0.04
1574, 0.29
1575, 0.15
1576, 0.05
1577, 0.64
1578, 0.30
1579, 0.25
1580, 0.25
1581, 0.43
1582, 0.03
1583, 0.04
1584, 0.70
1585, 0.82
1586, 0.05
1587, 0.04
1588, 0.25
1589, 0.83
1590, 0.38
1591, 0.05
1592, 0.05
1593, 0.03
1594, 0.03
1595, 0.04
1596, 0.83
1597, 0.05
1598, 0.04
1599, 0.45
1600, 0.45
1601, 0.68
1602, 0.65
1603, 0.56
1604, 0.03
1605, 0.13
1606, 0.75
1607, 0.35
1608, 0.05
1609, 0.03
1610, 0.77
1611, 0.14
1612, 0.82
1613, 0.14
1614, 0.35
1615, 0.71
1616, 0.97
1617, 0.41
1618, 0.32
1619, 0.04
1620, 0.68
1621, 0.41
1622, 0.16
1623, 0.68
1624, 0.14
1625, 0.75
1626, 0.19
1627, 0.65
1628, 0.03
1629, 0.05
1630, 0.04
1631, 0.39
1632, 0.50
1633, 0.95
1634, 0.04
1635, 0.25
1636, 0.26
1637, 0.45
1638, 0.05
1639, 0.30
1640, 0.12
1641, 0.85
1642, 0.26
1643, 0.22
1644, 0.85
1645, 0.75
1646, 0.14
1647, 0.38
1648, 0.17
1649, 0.57
1650, 0.05
1651, 0.04
1652, 0.19
1653, 0.97
1654, 0.95
1655, 0.14
1656, 0.32
1657, 0.28
1658, 0.05
1659, 0.59
1660, 0.05
1661, 0.12
1662, 0.32
1663, 0.56
1664, 0.86
1665, 0.35
1666, 0.03
1667, 0.50
1668, 0.50
1669, 0.96
1670, 0.04
1671, 0.05
1672, 0.66
1673, 0.74
1674, 0.35
1675, 0.55
1676, 0.05
1677, 0.68
1678, 0.38
1679, 0.88
1680, 0.21
1681, 0.04
1682, 0.96
1683, 0.65
1684, 0.05
1685, 0.95
1686, 0.97
1687, 0.75
1688, 0.65
1689, 0.59
1690, 0.57
1691, 0.04
1692, 0.97
1693, 0.85
1694, 0.62
1695, 0.64
1696, 0.73
1697, 0.41
1698, 0.55
1699, 0.05
1700, 0.21
1701, 0.41
1702, 0.61
1703, 0.01
1704, 0.85
1705, 0.29
1706, 0.50
1707, 0.23
1708, 0.04
1709, 0.34
1710, 0.55
1711, 0.14
1712, 0.59
1713, 0.65
1714, 0.32
1715, 0.05
1716, 0.77
1717, 0.65
1718, 0.46
1719, 0.25
1720, 0.05
1721, 0.14
1722, 0.85
1723, 0.04
1724, 0.05
1725, 0.32
1726, 0.13
1727, 0.59
1728, 0.58
1729, 0.96
1730, 0.43
1731, 0.45
1732, 0.15
1733, 0.47
1734, 0.29
1735, 0.75
1736, 0.09
1737, 0.38
1738, 0.50
1739, 0.75
1740, 0.25
1741, 0.15
1742, 0.43
1743, 0.05
1744, 0.75
1745, 0.09
1746, 0.14
1747, 0.27
1748, 0.05
1749, 0.84
1750, 0.05
1751, 0.54
1752, 0.55
1753, 0.29
1754, 0.04
1755, 0.15
1756, 0.47
1757, 0.46
1758, 0.10
1759, 0.21
1760, 0.03
1761, 0.03
1762, 0.05
1763, 0.12
1764, 0.95
1765, 0.03
1766, 0.95
1767, 0.35
1768, 0.05
1769, 0.29
1770, 0.45
1771, 0.77
1772, 0.84
1773, 0.55
1774, 0.14
1775, 0.31
1776, 0.05
1777, 0.42
1778, 0.03
1779, 0.04
1780, 0.85
1781, 0.46
1782, 0.54
1783, 0.05
1784, 0.26
1785, 0.58
1786, 0.05
1787, 0.86
1788, 0.75
1789, 0.95
1790, 0.84
1791, 0.12
1792, 0.39
1793, 0.05
1794, 0.35
1795, 0.04
1796, 0.28
1797, 0.03
1798, 0.04
1799, 0.50
1800, 0.15
1801, 0.46
1802, 0.78
1803, 0.96
1804, 0.05
1805, 0.42
1806, 0.04
1807, 0.03
1808, 0.05
1809, 0.08
1810, 0.31
1811, 0.59
1812, 0.38
1813, 0.05
1814, 0.83
1815, 0.04
1816, 0.54
1817, 0.46
1818, 0.05
1819, 0.04
1820, 0.05
1821, 0.58
1822, 0.05
1823, 0.47
1824, 0.72
1825, 0.25
1826, 0.23
1827, 0.37
1828, 0.05
1829, 0.05
1830, 0.65
1831, 0.03
1832, 0.22
1833, 0.05
1834, 0.05
1835, 0.21
1836, 0.46
1837, 0.23
1838, 0.23
1839, 0.54
1840, 0.61
1841, 0.45
1842, 0.05
1843, 0.38
1844, 0.29
1845, 0.84
1846, 0.31
1847, 0.15
1848, 0.30
1849, 0.05
1850, 0.05
1851, 0.05
1852, 0.10
1853, 0.03
1854, 0.04
1855, 0.68
1856, 0.23
1857, 0.03
1858, 0.95
1859, 0.58
1860, 0.25
1861, 0.41
1862, 0.04
1863, 0.61
1864, 0.05
1865, 0.03
1866, 0.71
1867, 0.05
1868, 0.54
1869, 0.25
1870, 0.05
1871, 0.28
1872, 0.03
